Date,USD,EUR,GBP,INR,AED,CNY
1985-01-01,308.3,402.45,266.01,3825.85,1134.42,
1985-01-02,305.5,401.49,266.0,3787.05,1134.42,
1985-01-03,302.3,397.08,262.76,3718.88,1107.67,
1985-01-04,303.15,397.15,262.58,3759.64,1118.21,
1985-01-07,298.25,392.55,261.17,3741.23,1091.58,835.8
1985-01-08,302.0,395.32,263.07,3820.7,1114.06,853.01
1985-01-09,300.5,393.54,263.14,3742.23,1097.47,840.31
1985-01-10,303.8,397.63,268.02,3853.39,1126.83,862.79
1985-01-11,304.25,398.6,270.57,3845.57,1135.85,869.69
1985-01-14,299.0,395.39,269.13,3790.08,1109.51,859.68
1985-01-15,301.8,398.73,269.46,3804.07,1105.34,856.45
1985-01-16,302.7,400.11,270.63,3818.67,1106.46,857.32
1985-01-17,305.5,402.99,273.01,3859.89,1118.4,866.57
1985-01-18,308.0,406.15,274.76,3883.32,1120.42,868.14
1985-01-21,307.25,404.61,273.48,3891.13,1129.9,866.49
1985-01-22,306.9,403.45,272.92,3864.48,1128.16,865.15
1985-01-23,300.25,396.15,270.37,3842.37,1124.88,862.64
1985-01-24,300.85,394.79,269.22,3815.78,1117.1,856.67
1985-01-25,298.85,393.15,269.11,3805.49,1114.09,854.36
1985-01-28,297.75,391.63,268.0,3789.62,1098.45,840.09
1985-01-29,303.25,399.59,272.1,3830.1,1112.97,851.19
1985-01-30,302.9,398.15,268.89,3793.73,1099.3,840.74
1985-01-31,306.65,402.82,271.13,3834.78,1101.79,842.64
1985-02-01,303.6,400.05,269.99,3861.16,1107.8,847.23
1985-02-04,301.25,401.44,270.42,3839.36,1106.11,850.8
1985-02-05,302.05,403.85,271.75,3844.69,1110.44,854.12
1985-02-06,302.85,404.56,271.86,3863.15,1114.19,857.01
1985-02-07,301.65,405.8,270.17,3843.06,1108.4,852.55
1985-02-08,299.8,404.45,269.97,3861.46,1107.39,851.78
1985-02-11,300.15,407.29,273.73,3871.41,1100.69,849.06
1985-02-12,302.5,412.8,278.03,3933.16,1121.86,865.39
1985-02-13,303.2,414.89,278.68,3919.84,1119.64,863.68
1985-02-14,304.15,415.55,278.53,3918.76,1117.75,862.22
