,Date,Price,High,Low,Close,Volume,Adj Close
0,2013-05-01,20.6,23.04,20.43,21.8,1974715308,21.8
1,2013-06-01,21.85,22.79,21.2,22.03,1941280776,22.03
2,2013-07-01,22.18,23.22,21.91,22.22,2047770180,22.22
3,2013-08-01,22.4,22.77,21.16,21.19,1338144516,21.19
4,2013-09-01,21.38,22.67,21.37,21.92,1323615060,21.92
5,2013-10-01,22.03,26.06,21.1,25.79,2206771020,25.79
6,2013-11-01,25.82,26.73,25.15,26.52,1049213736,26.52
7,2013-12-01,26.61,28.05,26.25,28.05,1352374272,28.05
8,2014-01-01,27.91,29.69,27.08,29.55,2178287532,29.55
9,2014-02-01,29.51,30.75,28.23,30.42,1620230148,30.42
10,2014-03-01,30.2,30.71,27.58,27.89,1744505748,27.89
11,2014-04-01,28.03,29.42,25.55,26.74,1421285316,26.74
12,2014-05-01,26.71,28.88,25.55,28.58,829136000,28.58
13,2014-06-01,28.49,29.48,27.37,29.23,789784000,29.23
14,2014-07-01,29.38,30.45,28.6,28.98,771666000,28.98
15,2014-08-01,28.93,29.89,28.37,29.12,581574000,29.12
16,2014-09-01,29.15,30.27,28.85,29.42,708502000,29.42
17,2014-10-01,29.34,29.62,25.92,28.39,1109632000,28.39
18,2014-11-01,28.18,28.36,26.96,27.45,595410000,27.45
19,2014-12-01,27.25,27.44,24.86,26.53,1088686000,26.53
20,2015-01-01,26.63,27.27,24.55,26.88,1056926000,26.88
21,2015-02-01,26.72,28.47,26.09,28.13,808386000,28.13
22,2015-03-01,28.35,29.16,27.52,27.74,864144000,27.74
23,2015-04-01,27.74,29.24,26.45,27.44,874900000,27.44
24,2015-05-01,27.53,27.91,26.61,27.27,648434000,27.27
25,2015-06-01,27.44,28.28,26.94,27,704328000,27
26,2015-07-01,27.18,35.67,26.99,32.88,1370858000,32.88
27,2015-08-01,32.88,35.2,29.65,32.39,1106942000,32.39
28,2015-09-01,31.69,34.1,30.89,31.92,871504000,31.92
29,2015-10-01,31.9,37.63,31.56,36.87,1005286000,36.87
30,2015-11-01,36.73,39.15,36.57,38.14,751482000,38.14
31,2015-12-01,38.35,39.93,36.81,38.9,872694000,38.9
32,2016-01-01,38.11,38.46,34.39,38.07,1039984000,38.07
33,2016-02-01,38.56,40.52,34.1,35.86,1352946000,35.86
34,2016-03-01,36.06,38.87,35.2,38.15,853314000,38.15
35,2016-04-01,37.86,39.55,35.16,35.39,933228000,35.39
36,2016-05-01,35.6,37.67,35.2,37.44,682046000,37.44
37,2016-06-01,37.42,37.57,33.63,35.18,839330000,35.18
38,2016-07-01,35.26,40.2,34.95,39.57,653244000,39.57
39,2016-08-01,39.33,40.69,39.25,39.49,577080000,39.49
40,2016-09-01,39.6,40.95,39.17,40.2,630896000,40.2
41,2016-10-01,40.13,41.95,39.81,40.49,707820000,40.49
42,2016-11-01,40.54,40.8,37.18,38.79,967068000,38.79
43,2016-12-01,38.93,41.22,37.67,39.62,687126000,39.62
44,2017-01-01,40.03,43.35,39.84,41.01,736654000,41.01
45,2017-02-01,41.2,42.69,40.6,42.25,529816000,42.25
46,2017-03-01,42.57,43.72,41.22,42.39,691002000,42.39
47,2017-04-01,42.44,46.79,41.73,46.23,574432000,46.23
48,2017-05-01,46.21,49.98,46.04,49.35,707186000,49.35
49,2017-06-01,49.55,50.43,46.48,46.48,881706000,46.48
50,2017-07-01,46.66,50.31,45.77,47.28,838172000,47.28
