,Date,Price,High,Low,Close,Volume,Adj Close
0,2013-04-15,19.67,20.11,19.05,20.02,613697688,20.02
1,2013-04-22,20.04,20.47,19.39,20.06,458928612,20.06
2,2013-04-29,20.1,21.19,20.1,21.16,423312264,21.16
3,2013-05-06,21.23,22.04,21.23,22.03,426249324,22.03
4,2013-05-13,21.99,23.02,21.86,22.75,520091388,22.75
5,2013-05-20,22.65,23.04,21.8,21.85,455072472,21.85
6,2013-05-27,22.11,22.33,21.63,21.8,334105560,21.8
7,2013-06-03,21.85,22.02,21.2,22.02,467723808,22.02
8,2013-06-10,22.07,22.3,21.66,21.9,424179396,21.9
9,2013-06-17,22,22.79,21.85,22.05,582752664,22.05
10,2013-06-24,21.82,22.14,21.6,22.03,466624908,22.03
11,2013-07-01,22.18,22.41,21.95,22.36,254353392,22.36
12,2013-07-08,22.5,23.1,22.45,23.1,431955612,23.1
13,2013-07-15,23.13,23.22,21.91,22.44,657078264,22.44
14,2013-07-22,22.57,22.85,22.07,22.16,471775752,22.16
15,2013-07-29,22.14,22.7,22.04,22.69,386545068,22.69
16,2013-08-05,22.66,22.77,22.15,22.28,279987732,22.28
17,2013-08-12,22.19,22.23,21.43,21.44,336595068,21.44
18,2013-08-19,21.46,21.97,21.46,21.78,269658072,21.78
19,2013-08-26,21.77,21.89,21.16,21.19,297965736,21.19
20,2013-09-02,21.38,22.12,21.37,22.01,277390332,22.01
21,2013-09-09,22.12,22.47,22.08,22.25,261885852,22.25
22,2013-09-16,22.43,22.67,22.05,22.6,418533048,22.6
23,2013-09-23,22.43,22.56,21.8,21.93,296978724,21.93
24,2013-09-30,21.75,22.37,21.73,21.83,334764900,21.83
25,2013-10-07,21.71,21.87,21.1,21.82,381729888,21.82
26,2013-10-14,21.69,25.41,21.66,25.31,825817356,25.31
27,2013-10-21,25.31,26.04,24.92,25.41,504403092,25.41
28,2013-10-28,25.41,26.06,25.35,25.7,280163556,25.7
29,2013-11-04,25.81,25.84,25.22,25.43,247891860,25.43
30,2013-11-11,25.26,26.02,25.15,25.86,253869876,25.86
31,2013-11-18,25.92,26.24,25.53,25.82,247791960,25.82
32,2013-11-25,25.95,26.73,25.9,26.52,248379372,26.52
33,2013-12-02,26.61,26.78,26.25,26.77,271863864,26.77
34,2013-12-09,26.8,27.34,26.47,26.55,351935712,26.55
35,2013-12-16,26.63,27.56,26.5,27.54,410600988,27.54
36,2013-12-23,27.72,28.04,27.66,27.99,214317468,27.99
37,2013-12-30,28.04,28.05,27.65,27.65,243040716,27.65
38,2014-01-06,27.85,28.71,27.69,28.28,431264304,28.28
39,2014-01-13,28.19,29.04,27.96,28.79,449026524,28.79
40,2014-01-20,29.05,29.23,28.1,28.12,375340284,28.12
41,2014-01-27,28.18,29.69,27.08,29.55,783271944,29.55
42,2014-02-03,29.51,29.57,28.23,29.47,573757668,29.47
43,2014-02-10,29.32,30.14,29.25,30.1,389354256,30.1
44,2014-02-17,30.07,30.35,29.97,30.12,310712976,30.12
45,2014-02-24,30.16,30.75,30.16,30.42,346405248,30.42
46,2014-03-03,30.2,30.71,29.83,30.4,303336360,30.4
47,2014-03-10,30.42,30.47,29.34,29.35,380874744,29.35
48,2014-03-17,29.51,30.33,29.48,29.61,418908672,29.61
49,2014-03-24,29.63,29.65,27.58,28.03,563771664,28.03
50,2014-03-31,28.29,29.42,27.22,27.26,435767624,27.26
51,2014-04-07,27.24,28.41,26.53,26.89,338898000,26.89
52,2014-04-14,27.18,28.2,26.53,27.17,334718000,27.17
53,2014-04-21,27.2,27.4,26.13,26.16,222986000,26.16
54,2014-04-28,26.29,27.12,25.55,26.69,242232000,26.69
55,2014-05-05,26.51,26.79,25.55,26.33,217018000,26.33
56,2014-05-12,26.59,27.2,26.18,26.42,179638000,26.42
57,2014-05-19,26.44,28.25,26.28,28.19,215774000,28.19
58,2014-05-26,28.39,28.88,28.21,28.58,141004000,28.58
59,2014-06-02,28.49,28.52,27.43,28.3,179090000,28.3
60,2014-06-09,28.34,28.6,27.69,28.02,140846000,28.02
61,2014-06-16,27.86,28.34,27.37,28.33,225960000,28.33
62,2014-06-23,28.22,29.48,28.17,29.28,214310000,29.28
63,2014-06-30,29.34,29.71,29.16,29.65,104336000,29.65
64,2014-07-07,29.68,29.78,28.6,29.33,155650000,29.33
65,2014-07-14,29.53,30.33,28.84,30.26,257462000,30.26
66,2014-07-21,30.07,30.45,29.72,29.9,158810000,29.9
67,2014-07-28,29.89,30.06,28.51,28.68,169252000,28.68
68,2014-08-04,28.83,29.19,28.37,28.9,142846000,28.9
69,2014-08-11,28.95,29.47,28.5,29.19,149872000,29.19
70,2014-08-18,29.35,29.89,29.33,29.63,109714000,29.63
71,2014-08-25,29.74,29.78,28.89,29.12,134876000,29.12
