Model Architecture,Loss Function,Learning Rate,Accuracy Train,Accuracy Test,Num Lags,Num Layers,Hidden Size
"[Linear(in_features=8, out_features=30, bias=True), ReLU(), Linear(in_features=30, out_features=20, bias=True), ReLU(), Linear(in_features=20, out_features=1, bias=True), Sigmoid()]",BCELoss(),0.001,0.5295790433883667,0.515312910079956,1,3,30
"[Linear(in_features=8, out_features=30, bias=True), ReLU(), Linear(in_features=30, out_features=20, bias=True), ReLU(), Linear(in_features=20, out_features=1, bias=True), Sigmoid()]",BCELoss(),0.01,0.5295790433883667,0.515312910079956,1,3,30
"[Linear(in_features=8, out_features=30, bias=True), ReLU(), Linear(in_features=30, out_features=20, bias=True), ReLU(), Linear(in_features=20, out_features=1, bias=True), Sigmoid()]",BCELoss(),0.1,0.5295790433883667,0.515312910079956,1,3,30
"[Linear(in_features=8, out_features=30, bias=True), ReLU(), Linear(in_features=30, out_features=20, bias=True), ReLU(), Linear(in_features=20, out_features=1, bias=True), Sigmoid()]",CrossEntropyLoss(),0.001,0.5295790433883667,0.515312910079956,1,3,30
"[Linear(in_features=8, out_features=30, bias=True), ReLU(), Linear(in_features=30, out_features=20, bias=True), ReLU(), Linear(in_features=20, out_features=1, bias=True), Sigmoid()]",CrossEntropyLoss(),0.01,0.5295790433883667,0.515312910079956,1,3,30
"[Linear(in_features=8, out_features=30, bias=True), ReLU(), Linear(in_features=30, out_features=20, bias=True), ReLU(), Linear(in_features=20, out_features=1, bias=True), Sigmoid()]",CrossEntropyLoss(),0.1,0.5295790433883667,0.515312910079956,1,3,30
"[Linear(in_features=8, out_features=50, bias=True), ReLU(), Linear(in_features=50, out_features=40, bias=True), ReLU(), Linear(in_features=40, out_features=30, bias=True), ReLU(), Linear(in_features=30, out_features=20, bias=True), ReLU(), Linear(in_features=20, out_features=1, bias=True), Sigmoid()]",BCELoss(),0.001,0.4704209268093109,0.48468708992004395,1,5,50
"[Linear(in_features=8, out_features=50, bias=True), ReLU(), Linear(in_features=50, out_features=40, bias=True), ReLU(), Linear(in_features=40, out_features=30, bias=True), ReLU(), Linear(in_features=30, out_features=20, bias=True), ReLU(), Linear(in_features=20, out_features=1, bias=True), Sigmoid()]",BCELoss(),0.01,0.4704209268093109,0.48468708992004395,1,5,50
"[Linear(in_features=8, out_features=50, bias=True), ReLU(), Linear(in_features=50, out_features=40, bias=True), ReLU(), Linear(in_features=40, out_features=30, bias=True), ReLU(), Linear(in_features=30, out_features=20, bias=True), ReLU(), Linear(in_features=20, out_features=1, bias=True), Sigmoid()]",BCELoss(),0.1,0.4704209268093109,0.48468708992004395,1,5,50
"[Linear(in_features=8, out_features=50, bias=True), ReLU(), Linear(in_features=50, out_features=40, bias=True), ReLU(), Linear(in_features=40, out_features=30, bias=True), ReLU(), Linear(in_features=30, out_features=20, bias=True), ReLU(), Linear(in_features=20, out_features=1, bias=True), Sigmoid()]",CrossEntropyLoss(),0.001,0.4704209268093109,0.48468708992004395,1,5,50
"[Linear(in_features=8, out_features=50, bias=True), ReLU(), Linear(in_features=50, out_features=40, bias=True), ReLU(), Linear(in_features=40, out_features=30, bias=True), ReLU(), Linear(in_features=30, out_features=20, bias=True), ReLU(), Linear(in_features=20, out_features=1, bias=True), Sigmoid()]",CrossEntropyLoss(),0.01,0.4704209268093109,0.48468708992004395,1,5,50
"[Linear(in_features=8, out_features=50, bias=True), ReLU(), Linear(in_features=50, out_features=40, bias=True), ReLU(), Linear(in_features=40, out_features=30, bias=True), ReLU(), Linear(in_features=30, out_features=20, bias=True), ReLU(), Linear(in_features=20, out_features=1, bias=True), Sigmoid()]",CrossEntropyLoss(),0.1,0.4704209268093109,0.48468708992004395,1,5,50
"[Linear(in_features=8, out_features=1, bias=True), ReLU(), Linear(in_features=1, out_features=1, bias=True), Sigmoid()]",BCELoss(),0.001,0.4704209268093109,0.48468708992004395,1,2,1
"[Linear(in_features=8, out_features=1, bias=True), ReLU(), Linear(in_features=1, out_features=1, bias=True), Sigmoid()]",BCELoss(),0.01,0.5295790433883667,0.515312910079956,1,2,1
"[Linear(in_features=8, out_features=1, bias=True), ReLU(), Linear(in_features=1, out_features=1, bias=True), Sigmoid()]",BCELoss(),0.1,0.5295790433883667,0.515312910079956,1,2,1
"[Linear(in_features=8, out_features=1, bias=True), ReLU(), Linear(in_features=1, out_features=1, bias=True), Sigmoid()]",CrossEntropyLoss(),0.001,0.5295790433883667,0.515312910079956,1,2,1
"[Linear(in_features=8, out_features=1, bias=True), ReLU(), Linear(in_features=1, out_features=1, bias=True), Sigmoid()]",CrossEntropyLoss(),0.01,0.5295790433883667,0.515312910079956,1,2,1
"[Linear(in_features=8, out_features=1, bias=True), ReLU(), Linear(in_features=1, out_features=1, bias=True), Sigmoid()]",CrossEntropyLoss(),0.1,0.5295790433883667,0.515312910079956,1,2,1
"[Linear(in_features=8, out_features=5, bias=True), ReLU(), Linear(in_features=5, out_features=1, bias=True), Sigmoid()]",BCELoss(),0.001,0.5295790433883667,0.515312910079956,1,2,5
"[Linear(in_features=8, out_features=5, bias=True), ReLU(), Linear(in_features=5, out_features=1, bias=True), Sigmoid()]",BCELoss(),0.01,0.5295790433883667,0.515312910079956,1,2,5
"[Linear(in_features=8, out_features=5, bias=True), ReLU(), Linear(in_features=5, out_features=1, bias=True), Sigmoid()]",BCELoss(),0.1,0.5295790433883667,0.515312910079956,1,2,5
"[Linear(in_features=8, out_features=5, bias=True), ReLU(), Linear(in_features=5, out_features=1, bias=True), Sigmoid()]",CrossEntropyLoss(),0.001,0.5295790433883667,0.515312910079956,1,2,5
"[Linear(in_features=8, out_features=5, bias=True), ReLU(), Linear(in_features=5, out_features=1, bias=True), Sigmoid()]",CrossEntropyLoss(),0.01,0.5295790433883667,0.515312910079956,1,2,5
"[Linear(in_features=8, out_features=5, bias=True), ReLU(), Linear(in_features=5, out_features=1, bias=True), Sigmoid()]",CrossEntropyLoss(),0.1,0.5295790433883667,0.515312910079956,1,2,5
"[Linear(in_features=8, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=1, bias=True), Sigmoid()]",BCELoss(),0.001,0.4704209268093109,0.48468708992004395,1,2,10
"[Linear(in_features=8, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=1, bias=True), Sigmoid()]",BCELoss(),0.01,0.4704209268093109,0.48468708992004395,1,2,10
"[Linear(in_features=8, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=1, bias=True), Sigmoid()]",BCELoss(),0.1,0.4704209268093109,0.48468708992004395,1,2,10
"[Linear(in_features=8, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=1, bias=True), Sigmoid()]",CrossEntropyLoss(),0.001,0.4704209268093109,0.48468708992004395,1,2,10
"[Linear(in_features=8, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=1, bias=True), Sigmoid()]",CrossEntropyLoss(),0.01,0.4704209268093109,0.48468708992004395,1,2,10
"[Linear(in_features=8, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=1, bias=True), Sigmoid()]",CrossEntropyLoss(),0.1,0.4704209268093109,0.48468708992004395,1,2,10
"[Linear(in_features=8, out_features=20, bias=True), ReLU(), Linear(in_features=20, out_features=1, bias=True), Sigmoid()]",BCELoss(),0.001,0.4704209268093109,0.48468708992004395,1,2,20
"[Linear(in_features=8, out_features=20, bias=True), ReLU(), Linear(in_features=20, out_features=1, bias=True), Sigmoid()]",BCELoss(),0.01,0.4704209268093109,0.48468708992004395,1,2,20
"[Linear(in_features=8, out_features=20, bias=True), ReLU(), Linear(in_features=20, out_features=1, bias=True), Sigmoid()]",BCELoss(),0.1,0.4704209268093109,0.48468708992004395,1,2,20
"[Linear(in_features=8, out_features=20, bias=True), ReLU(), Linear(in_features=20, out_features=1, bias=True), Sigmoid()]",CrossEntropyLoss(),0.001,0.4704209268093109,0.48468708992004395,1,2,20
"[Linear(in_features=8, out_features=20, bias=True), ReLU(), Linear(in_features=20, out_features=1, bias=True), Sigmoid()]",CrossEntropyLoss(),0.01,0.4704209268093109,0.48468708992004395,1,2,20
"[Linear(in_features=8, out_features=20, bias=True), ReLU(), Linear(in_features=20, out_features=1, bias=True), Sigmoid()]",CrossEntropyLoss(),0.1,0.4704209268093109,0.48468708992004395,1,2,20
"[Linear(in_features=8, out_features=30, bias=True), ReLU(), Linear(in_features=30, out_features=20, bias=True), ReLU(), Linear(in_features=20, out_features=1, bias=True), Sigmoid()]",BCELoss(),0.001,0.5295790433883667,0.515312910079956,1,3,30
"[Linear(in_features=8, out_features=30, bias=True), ReLU(), Linear(in_features=30, out_features=20, bias=True), ReLU(), Linear(in_features=20, out_features=1, bias=True), Sigmoid()]",BCELoss(),0.01,0.5295790433883667,0.515312910079956,1,3,30
"[Linear(in_features=8, out_features=30, bias=True), ReLU(), Linear(in_features=30, out_features=20, bias=True), ReLU(), Linear(in_features=20, out_features=1, bias=True), Sigmoid()]",BCELoss(),0.1,0.5295790433883667,0.515312910079956,1,3,30
