num_lags,n_estimators,max_features,criterion,accuracy
1,20,2,gini,0.7530280649926144
1,20,2,entropy,0.7485967503692762
1,20,2,log_loss,0.7485967503692762
1,20,4,gini,0.7530280649926144
1,20,4,entropy,0.7485967503692762
1,20,4,log_loss,0.7485967503692762
1,20,8,gini,0.7530280649926144
1,20,8,entropy,0.7485967503692762
1,20,8,log_loss,0.7485967503692762
1,50,2,gini,0.7695716395864106
1,50,2,entropy,0.7734121122599704
1,50,2,log_loss,0.7734121122599704
1,50,4,gini,0.7695716395864106
1,50,4,entropy,0.7734121122599704
1,50,4,log_loss,0.7734121122599704
1,50,8,gini,0.7695716395864106
1,50,8,entropy,0.7734121122599704
1,50,8,log_loss,0.7734121122599704
1,100,2,gini,0.7737075332348596
1,100,2,entropy,0.7748892171344165
1,100,2,log_loss,0.7748892171344165
1,100,4,gini,0.7737075332348596
1,100,4,entropy,0.7748892171344165
1,100,4,log_loss,0.7748892171344165
1,100,8,gini,0.7737075332348596
1,100,8,entropy,0.7748892171344165
1,100,8,log_loss,0.7748892171344165
5,20,2,gini,0.8205734555128584
5,20,2,entropy,0.8122967780076855
5,20,2,log_loss,0.8122967780076855
5,20,4,gini,0.7845107892403193
5,20,4,entropy,0.8134791605084245
5,20,4,log_loss,0.8134791605084245
5,20,8,gini,0.8143659473839787
5,20,8,entropy,0.8134791605084245
5,20,8,log_loss,0.8134791605084245
5,50,2,gini,0.8235294117647058
5,50,2,entropy,0.8211646467632279
5,50,2,log_loss,0.8211646467632279
5,50,4,gini,0.8108187998817618
5,50,4,entropy,0.8202778598876737
5,50,4,log_loss,0.8202778598876737
5,50,8,gini,0.8096364173810228
5,50,8,entropy,0.8220514336387822
5,50,8,log_loss,0.8220514336387822
5,100,2,gini,0.8244161986402602
5,100,2,entropy,0.8226426248891516
5,100,2,log_loss,0.8226426248891516
5,100,4,gini,0.8111143955069465
5,100,4,entropy,0.8193910730121194
5,100,4,log_loss,0.8193910730121194
5,100,8,gini,0.8099320130062075
5,100,8,entropy,0.8179130948861957
